/dic,,,,,
/@from,/@to,/l/#id,/l/w/c,/l/w/d,/l/w/t
es,en,1,á,obsolete spelling of a,{prep}
es,en,1,a,Name of the letter A,{f}
es,en,1,a,"The first letter of the Spanish alphabet, called a and written in the Latin script",{letter}
es,en,1,a-,"a-, non-, -less",{prefix}
es,en,1,a-,"A prefix forming words, especially verbs, that denote entering a state, making progress toward a goal, or the like",{prefix}
es,en,1,a,at,{prep}
es,en,1,a,by,{prep}
es,en,1,a,to,{prep}
es,en,1,a,"Used before words referring to people, pets, or personified objects or places that function as direct objects: personal a",{prep}
es,en,1,-a,-ess. (Used to form feminine singular nouns.),{suffix}
es,en,1,-a,-s. (Used to form the third-person singular (also used with usted) present indicative mood of regular -ar verbs.),{suffix}
es,en,1,-a,(Used to form the feminine singular adjectives.),{suffix}
es,en,1,-a,"(Used to form the first and third-person singular (also used with usted) singular subjunctive mood of -er and -ir verbs, also used for the imperative mood of usted.)",{suffix}
es,en,1,-a,(Used to form the second-person singular imperative mood of -ar verbs.),{suffix}
es,en,1,A,bishop,{m} [chess]
es,en,1,añadidura,addition,{f}
es,en,1,añadidura,"Something that is added, especially something that a merchant gives to a buyer to complete the amount requested, or something extra given as a bonus; a gratuity, lagniappe",{f}
es,en,1,añadir,to add,{v}
es,en,1,añadir,to augment,{v}
es,en,1,añal,alternative form of anual,{adj}
es,en,1,aaleniano,Aalenian,{adj} [geology]
es,en,1,aaleniano,Aalenian,{m} [geology]
es,en,1,añares,"eon (many years, a long period of time)","{mp} [Argentina, Colombia, Uruguay]"
es,en,1,Aarón,male given name. Spanish equivalent of Aaron,{prop}
es,en,1,-aba,Suffix indicating the first-person singular imperfect indicative of -ar verbs,{suffix}
es,en,1,-aba,Suffix indicating the third-person singular imperfect indicative of -ar verbs,{suffix}
es,en,1,abañar,to sift,{v}
es,en,1,ababa,red poppy,{f}
es,en,1,Ababa,female given name,{prop}
es,en,1,ababillarse,to be sick with the stifle (of horses and other quadrupeds),"{v} [veterinary medicine, Chile, Mexico]"
es,en,1,ababol,absentminded or simpleminded person,{m}
es,en,1,ababol,simpleton,{m}
es,en,1,abacá,abaca,{m}
es,en,1,abacalera,"abaca worker (farmer, transporter, or salesman)",{f}
es,en,1,abacalero,"abaca worker (farmer, transporter, or salesman)",{m}
es,en,1,abacería,grocery (store),{f}
es,en,1,abacero,grocer,{m}
es,en,1,abacial,abbatial,{adj}
es,en,1,abacista,abacist,{mf}
es,en,1,abacora,swordfish (Xiphias gladius),{f} [Antilles]
es,en,1,abacorar,"to stockpile, to hoard, to corner the market",{v} [Cuba]
es,en,1,abacorar,to attack,{v}
es,en,1,abacorar,"to catch, to surprise",{v}
es,en,1,abacorar,to corner,{v}
es,en,1,abacorar,to overcome,{v}
es,en,1,abacorar,"to pursue relentlessly, to harass",{v}
es,en,1,abacorar,to smooch while dancing,{v}
es,en,1,abad,abbot,{m}
es,en,1,abadía,abbey,{f}
es,en,1,abadejo,"pollock, pollack (fish related to cod)",{m}
es,en,1,abadernar,to fasten with short ropes,{v} [nautical]
es,en,1,abadesa,abbess,{f}
es,en,1,Abadán,Abadan,{prop}
es,en,1,-abais,Suffix indicating the second-person plural imperfect indicative of -ar verbs,{suffix}
es,en,1,abajar,to descend,{v}
es,en,1,abajar,to go down,{v}
es,en,1,abajeño,coastal,{adj}
es,en,1,abajeño,lowlander,{adj}
es,en,1,abajo,down,{adv}
es,en,1,abajofirmante,"undersigned, signatory",{mf}
es,en,1,abalanzar,"to pounce on, swoop down on",{vr} [~se sobre]
es,en,1,abalanzar,"to balance, compensate",{vt} [dated]
es,en,1,abalanzar,to propel,{vt}
es,en,1,abaldonadamente,"daringly, courageously",{adv} [obsolete]
es,en,1,abalear,to shoot,{vt} [Latin America]
es,en,1,abalorio,glass beads,{m}
es,en,1,abaluartar,to fortify with bastions,{v}
es,en,1,abamperio,abampere,{m}
es,en,1,-aban,Suffix indicating the third-person plural imperfect indicative of -ar verbs,{suffix}
es,en,1,abanación,"abannation, banishment",{f}
es,en,1,abanar,to fan,{v}
es,en,1,abancalar,To terrace,{v}
es,en,1,abanderada,standard-bearer,{f}
es,en,1,abanderado,standard-bearer,{m}
es,en,1,abanderar,"to lead a cause, rebellion, movement",{v}
es,en,1,abanderar,to register a boat under a particular nationality,{v}
es,en,1,abandonado,abandoned,{adj}
es,en,1,abandonado,dirty,{adj}
es,en,1,abandonar,to abandon,{v}
es,en,1,abandonar,to leave,{v}
es,en,1,abandono,abandonment,{m}
es,en,1,abanicar,To fan,{v}
es,en,1,abanico,fan (hand-held device),{m}
es,en,1,abanico aluvial,alluvial fan,{m}
es,en,1,abano,ceiling fan,{m}
es,en,1,abano,fly chaser (tool to chase flies from an area),{m}
