/dic,,,,,
/@from,/@to,/l/#id,/l/w/c,/l/w/d,/l/w/t
en,es,1,a,,{art} /e?/ (an)
en,es,1,a,a {f},"{n} /e?/ (name of the letter A, a)"
en,es,1,Aachen,Aquisgrán,{prop} /??.k?n/ (city in North Rhine-Westphalia)
en,es,1,aah,"¡ay!, ¡ah!",{interj} (expressing amazement or surprise)
en,es,1,açai,asaí {m},{n} /?a.saj/
en,es,1,Aalenian,aaleniano,{adj} (of or pertaining to the Aalenian period)
en,es,1,Aalenian,aaleniano {m},{prop} (subdivision of the Middle Jurassic period)
en,es,1,aalii,chirca {f},{n} /??li?i/ (Dodonaea viscosa)
en,es,1,aardvark,cerdo hormiguero {m},{n} /???d?v??k/ (mammal)
en,es,1,aardwolf,"lobo de tierra {m}, proteles {m}",{n} /???d.?w?lf/ (the mammal species Proteles cristatus)
en,es,1,Aaron,Aarón,{prop} /???.?n/ (biblical brother of Moses)
en,es,1,Aaron,Aarón,{prop} (male given name)
en,es,1,abaca,abacá {m},{n} /?æb.??k?/ (plant)
en,es,1,abaca,,{n} (fiber/fibre)
en,es,1,abacist,abacista {m} {f},{n} /??b?.k?st/ (One who uses an abacus.)
en,es,1,aback,hacia atrás,{adv} /??bæk/
en,es,1,aback,,{n} (abacus)
en,es,1,abacus,ábaco {m},{n} /??b?k.?s/ (calculating frame)
en,es,1,Abadan,Abadán,{prop} /??.b??d?n/ (city in Iran)
en,es,1,abaft,a popa,{adv} ((nautical) On the aft side)
en,es,1,abaft,a popa,{prep} /?'b?ft/ ((nautical) Behind; toward the stern relative to some other object or position; aft of)
en,es,1,abaisance,,{n} (obeisance)
en,es,1,abaka,,{n} (fiber/fibre)
en,es,1,abaka,abacá {m},{n} (plant)
en,es,1,abalone,"oreja de mar {f}, abulón {m}, loco {m}",{n} /æb.??lo?.ni/ (edible univalve mollusc)
en,es,1,abandon,desenfreno {m},{n} (a giving up to natural impulses)
en,es,1,abandon,"renunciar, suspender",{v} /??bæn.dn?/ (to give up)
en,es,1,abandon,expulsar,{v} (to cast out)
en,es,1,abandon,abandonar,{v} (to leave behind or desert)
en,es,1,abandon,renunciar,{v} (to relinquish a claim to property)
en,es,1,abandoned,abandonado,"{adj} /??bæn.dn?d/ (forsaken, deserted)"
en,es,1,abandoned,"desenfrenado, desinhibido","{adj} (wicked, self-abandoned, given to sin)"
en,es,1,abandonment,abandono {m},{n}
en,es,1,abandonment,abandono {m},{n} /??bæn.dn?.mn?t/ (act of abandoning)
en,es,1,abase,"rebajar, degradar, humillar",{v} /?.?be?s/ (to lower so as to hurt feelings)
en,es,1,abasement,"rebajamiento {m}, abatimiento {m}, humillación {m}",{n} /??be?s.m?nt/ (the act of abasing)
en,es,1,abash,"confundir, avergonzar, abochornar","{v} /??bæ?/ (to make ashamed, to embarrass)"
en,es,1,abashed,avergonzado,{adj} /??bæ?t/ (embarrassed)
en,es,1,abatage,,{n} (abattage)
en,es,1,abate,"reducir, suprimir, menguar",{v} /??be?t/ (to bring down or reduce to a lower state)
en,es,1,abate,"abatir, humillar",{v} (to bring down a person physically or mentally)
en,es,1,abatement,disminución {f},{n} /??be?t.m?nt/ (the act of abating or the state of being abated)
en,es,1,abattoir,matadero {m},{n} /?æb.??tw??/ (public slaughterhouse)
en,es,1,abbatial,abacial,{adj} /??be?.?l?/ (belonging to an abbey)
en,es,1,abbess,abadesa {f},{n} /?æb.?s/ (female superior of a nunnery)
en,es,1,abbey,abadía {f},{n} /?æb.i/ (monastery headed by an abbot)
en,es,1,abbey,abadía {f},{n} (church of a monastery)
en,es,1,abbot,abad {m},{n} /?æb.?t/ (superior or head of an abbey or monastery)
en,es,1,abbreviate,abreviar,{v} /??bri.vi.e?t/ (to make shorter)
en,es,1,abbreviate,simplificar,{v} (to reduce to lower terms)
en,es,1,abbreviated,abreviado,{adj} /??bri.vi?e?.t?d/ (shortened)
en,es,1,abbreviation,abreviación {f},{n} (act or result of shortening or reducing)
en,es,1,abbreviation,abreviación {f},{n} /??bri.vi?e?.?n?/ (shortened or contracted form of a word or phrase)
en,es,1,abbreviature,abreviatura,{n} /??b?i.vi.??t????/
en,es,1,ABC book,,{n} (primer)
en,es,1,abciximab,abciximab {m},{n} (antiplatelet drug)
en,es,1,abdest,abdesto {m},{n} (Islamic act of washing parts of the body)
en,es,1,abdicate,abdicar,{v} /?æb.d??ke?t/ (surrender or relinquish)
en,es,1,abdicate,abdicar,{v} (disinherit)
en,es,1,abdicate,abdicar,{v} (reject)
en,es,1,abdicate,abdicar,{v} (renounce a throne)
en,es,1,abdication,abdicación {f},"{n} /?æb.d??ke?.??n/ (the act of abdicating; the renunciation of a high office, dignity, or trust, by its holder)"
en,es,1,abdomen,"abdomen {m}, vientre {m}",{n} /?æb.d?.m?n/ (belly)
en,es,1,abdominal,abdominal,{adj} /æb?d?m.?.nl?/ (of or pertaining to the abdomen)
en,es,1,abdominal fin,,{n} /æb?d?m.?.nl? f?n/ (pelvic fin)
en,es,1,abduce,abducir,"{v} /æb.?dus/ (transitive, obsolete: to draw or conduct away; to withdraw; to draw to a different part)"
en,es,1,abduct,"raptar, secuestrar",{v} /æb?d?kt/ (to take away)
en,es,1,abduct,abducir,{v} (to draw away from its ordinary position)
en,es,1,abduction,"rapto {m}, secuestro {m}",{n} /æb?d?k.?n?/ (act of abducing or abducting)
en,es,1,abduction,rapto {m},{n} (law: carrying off of a human being)
en,es,1,abduction,abducción {f},{n} (logic: syllogism)
en,es,1,abduction,abducción {f},{n} (physiology: movement separating limb from axis)
en,es,1,abductor,"raptor {m}, secuestrador {m}",{n} /æb?d?k.t?/ (kidnapper)
en,es,1,abductor,abductor {m},{n} (muscle)
en,es,1,abearance,,{n} /??b??.?ns/ (behavior)
en,es,1,Abecedarian,abecedariano {m},{n} /?e?.bi?si?dæ?.i.?n/ (member of a 16th-century sect)
en,es,1,abecedarium,,{n} /?e?.bi?si?dæ?.i.?m/ (a book used to teach the alphabet)
en,es,1,abed,"en cama, acostado","{adv} /??b?d/ (In bed, or on the bed)"
